Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,__source_file
192.168.56.101-192.168.56.102-139-45834-6,192.168.56.102,45834,192.168.56.101,139,6,04/02/2026 10:51:09 PM,6024665,2,3,18.0,5.0,18.0,0.0,9.0,12.727922061357855,5.0,0.0,1.6666666666666667,2.886751345948129,3.817639652993154,0.829921663694164,1506166.25,3012049.8340174,6024241.0,52.0,6024241.0,6024241.0,0.0,6024241.0,6024241.0,6024665.0,3012332.5,4260007.936772008,6024613.0,52.0,0,0,0,0,64,112,0.3319686654776655,0.4979529982164983,0.0,18.0,3.8333333333333335,7.222649560006817,52.16666666666666,0,1,0,0,0,0,0,0,1.0,4.6,9.0,1.6666666666666667,0,0,0,0,0,0,2,18,3,5,-1,255,1,0,252.0,0.0,252.0,252.0,6024241.0,0.0,6024241.0,6024241.0,Probe Attack,
192.168.56.101-192.168.56.102-135-35154-6,192.168.56.102,35154,192.168.56.101,135,6,04/02/2026 10:51:09 PM,6024953,2,3,32.0,0.0,32.0,0.0,16.0,22.62741699796952,0.0,0.0,0.0,0.0,5.311244751618809,0.8298819924404389,1506238.25,3012001.833695256,6024241.0,183.0,6024241.0,6024241.0,0.0,6024241.0,6024241.0,6024953.0,3012476.5,4260026.321548319,6024770.0,183.0,0,0,0,0,64,112,0.3319527969761756,0.4979291954642634,0.0,32.0,5.333333333333334,13.063945294843617,170.66666666666669,0,1,0,0,0,0,0,0,1.0,6.4,16.0,0.0,0,0,0,0,0,0,2,32,3,0,-1,255,1,0,480.0,0.0,480.0,480.0,6024241.0,0.0,6024241.0,6024241.0,Probe Attack,
192.168.56.101-192.168.56.102-5985-46712-6,192.168.56.102,46712,192.168.56.101,5985,6,04/02/2026 10:51:09 PM,6044599,2,4,18.0,492.0,18.0,0.0,9.0,12.727922061357855,492.0,0.0,123.0,246.0,84.37284259882252,0.992621677633206,1208919.8,2691753.055260493,6024066.0,208.0,6024066.0,6024066.0,0.0,6024066.0,6024066.0,6044599.0,2014866.3333333333,3481126.4079321125,6034521.0,208.0,0,0,0,0,64,144,0.330873892544402,0.661747785088804,0.0,492.0,72.85714285714286,184.94632425961555,34205.14285714286,0,1,0,0,0,0,0,0,2.0,85.0,9.0,123.0,0,0,0,0,0,0,2,18,4,492,-1,255,1,0,427.0,0.0,427.0,427.0,6024066.0,0.0,6024066.0,6024066.0,Probe Attack,
192.168.56.101-192.168.56.102-135-35154-6,192.168.56.102,35154,192.168.56.101,135,6,04/02/2026 10:51:15 PM,25405,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.72466049990159,25405.0,0.0,25405.0,25405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,39.3623302499508,39.3623302499508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-192.168.56.102-139-34706-6,192.168.56.102,34706,192.168.56.101,139,6,04/02/2026 10:51:15 PM,262,2,3,168.0,5.0,168.0,0.0,84.0,118.79393923933998,5.0,0.0,1.6666666666666667,2.886751345948129,660305.3435114503,19083.969465648854,65.5,56.03272853133842,124.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,131.0,46.66904755831214,164.0,98.0,0,0,0,0,64,112,7633.587786259542,11450.381679389311,0.0,168.0,28.833333333333336,68.20679340554479,4652.166666666667,0,1,0,0,0,0,0,0,1.0,34.6,84.0,1.6666666666666667,0,0,0,0,0,0,2,168,3,5,-1,255,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-192.168.56.102-135-58348-6,192.168.56.102,58348,192.168.56.101,135,6,04/02/2026 10:51:15 PM,27265,3,4,168.0,24.0,168.0,0.0,56.0,96.99484522385713,24.0,0.0,6.0,12.0,7041.995231982395,256.73940949935815,4544.166666666667,8434.717100571108,21095.0,47.0,27045.0,13522.5,10805.298723311633,21163.0,5882.0,27265.0,9088.333333333332,15557.860307038798,27053.0,97.0,0,0,0,0,96,144,110.03117549972492,146.70823399963322,0.0,168.0,24.0,58.78775382679628,3456.0,0,1,0,0,0,0,0,0,1.0,27.428571428571427,56.0,6.0,0,0,0,0,0,0,3,168,4,24,-1,255,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-192.168.56.102-80-35566-6,192.168.56.102,35566,192.168.56.101,80,6,04/02/2026 10:51:09 PM,6129519,2,4,18.0,947.0,18.0,0.0,9.0,12.727922061357855,947.0,0.0,236.75,473.5,157.43486560690977,0.9788696307165374,1225903.8,2682645.003155878,6024241.0,125.0,6024241.0,6024241.0,0.0,6024241.0,6024241.0,6129519.0,2043173.0,3457144.7254386097,6034767.0,125.0,0,0,0,0,64,144,0.3262898769055125,0.652579753811025,0.0,947.0,137.85714285714286,356.86151775884,127350.14285714286,0,1,0,0,0,0,0,0,2.0,160.83333333333334,9.0,236.75,0,0,0,0,0,0,2,18,4,947,-1,255,1,0,480.0,0.0,480.0,480.0,6024241.0,0.0,6024241.0,6024241.0,Probe Attack,
192.168.56.101-192.168.56.102-80-35566-6,192.168.56.102,35566,192.168.56.101,80,6,04/02/2026 10:51:15 PM,973,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.498458376156,973.0,0.0,973.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1027.749229188078,1027.749229188078,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,248,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-192.168.56.102-3389-47064-6,192.168.56.102,47064,192.168.56.101,3389,6,04/02/2026 10:51:09 PM,11054405,4,4,42.0,19.0,42.0,0.0,10.5,21.0,19.0,0.0,4.75,9.5,5.518162216781455,0.7236934054795351,1579200.7142857143,2681209.8484152453,6024241.0,88.0,11054153.0,3684717.6666666665,3151262.959522314,6024241.0,101363.0,6125615.0,2041871.6666666665,3458061.9254875025,6034554.0,164.0,0,0,0,0,128,144,0.3618467027397675,0.3618467027397675,0.0,42.0,6.777777777777777,14.626839865276589,213.94444444444449,0,1,0,0,0,0,0,0,1.0,7.625,10.5,4.75,0,0,0,0,0,0,4,42,4,19,-1,63958,1,0,252.0,0.0,252.0,252.0,6024241.0,0.0,6024241.0,6024241.0,Probe Attack,
192.168.56.101-192.168.56.102-80-50104-6,192.168.56.102,50104,192.168.56.101,80,6,04/02/2026 10:51:21 PM,201105,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.945053578976156,201105.0,0.0,201105.0,201105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,40,40,4.972526789488078,4.972526789488078,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
